,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,age,owners_is_null,nct_is_null,mileage_is_0
53,Mr500.ie,Dublin,Fiat,500,2011.0,131505.0, 3 months ago,6950.0,Manual,0.0,Hatchback,Petrol,3.0,57.0,1.0,Grey,180.0,April,2023.0,2022-08-30,3084718,8.846496938558838,11.0,False,False,False
185,Hornibrooks of lismore,Waterford,Fiat,500,2018.0,54600.0, 3 months ago,13950.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Black,,May,2024.0,2022-08-31,3085474,9.543234787249512,4.0,False,False,False
218,Agnelli motor park,Dublin,Fiat,500,2022.0,0.0, 2 months ago,20845.0,Manual,1.0,Hatchback,Hybrid,2.0,,,Grey,,None,,2022-08-31,3093485,9.944869390314897,0.0,True,True,True
482,John kelly waterford,Waterford,Fiat,500,2015.0,146535.0, 1 month ago,10995.0,Manual,1.2,Hatchback,Petrol,2.0,46.0,3.0,Red,,May,2023.0,2022-08-31,3087464,9.305195902988862,7.0,False,False,False
1103,Alan white cars,Dublin,Fiat,500,2017.0,34000.0, 2 months ago,12695.0,Manual,1.2,Hatchback,Petrol,2.0,50.0,3.0,White,190.0,January,2023.0,2022-08-31,3091706,9.448963494138779,5.0,False,False,False
1352,Agnelli motor park,Dublin,Fiat,500,2022.0,0.0, 1 month ago,21695.0,Manual,1.0,Hatchback,Hybrid,3.0,,,White,,None,,2022-08-31,3093483,9.98483709823245,0.0,True,True,True
1367,Agnelli motor park,Dublin,Fiat,500,2022.0,0.0, 1 month ago,31845.0,Automatic,,Hatchback,Electric,3.0,,,Grey,,None,,2022-08-31,3093517,10.368635662805467,0.0,True,True,True
1628,Apex motors,Meath,Fiat,500,2013.0,120755.0, 2 hours ago,7749.0,Manual,1.2,Hatchback,Petrol,3.0,49.0,1.0,White,,May,2023.0,2022-08-31,3095277,8.95531908176395,9.0,False,False,False
2024,Waltons garage ranelagh,Dublin,Fiat,500,2017.0,105490.0, 2 days ago,10950.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,1.0,White,190.0,January,2023.0,2022-08-31,3098000,9.301094735244646,5.0,False,False,False
2451,Tractamotors blanchardstown,Dublin,Fiat,500,2018.0,40000.0, 6 days ago,13999.0,Manual,1.2,Hatchback,Petrol,3.0,,2.0,Black,190.0,March,2024.0,2022-08-31,3100249,9.546741177474825,4.0,False,False,False
2977,Apex motors,Meath,Fiat,500,2010.0,127723.0, 3 hours ago,5949.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Red,,October,2022.0,2022-08-31,3103028,8.690978417187905,12.0,False,False,False
3243,Dunne motor services,Dublin,Fiat,500,2018.0,49142.0, 3 hours ago,12999.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,3.0,Black,190.0,July,2024.0,2022-08-31,3104357,9.47262771040802,4.0,False,False,False
3306,Quinn motors,Kilkenny,Fiat,500,2014.0,113209.0, 5 days ago,10950.0,Manual,1.2,Mpv,Diesel,4.0,60.0,3.0,Grey,180.0,January,2023.0,2022-08-31,3104628,9.301094735244646,8.0,False,False,False
3650,Agnelli motor park,Dublin,Fiat,500,2022.0,0.0, 2 months ago,20695.0,Manual,1.0,Hatchback,Petrol hybrid,3.0,,,Red,,None,,2022-09-01,3106611,9.937647404182833,0.0,True,True,True
3661,Low cost car and van sales,Dublin,Fiat,500,2013.0,101756.0, 3 hours ago,8250.0,Manual,1.2,Hatchback,Petrol,3.0,,3.0,Black,200.0,June,2024.0,2022-09-01,3106723,9.017968479328726,9.0,False,False,False
3683,Charton motor company,Dublin,Fiat,500,2010.0,112756.0, 20 hours ago,6995.0,Manual,1.2,Hatchback,Petrol,3.0,49.0,5.0,Blue,200.0,January,2023.0,2022-09-01,3106842,8.852950887099581,12.0,False,False,False
4290,Bandon motors,Cork,Fiat,500,2016.0,32991.0, 23 days ago,11950.0,Manual,1.2,Hatchback,Petrol,,,,Grey,,None,,2022-09-01,3110022,9.388486557359657,6.0,True,True,False
4419,Redcastle motors,Dublin,Fiat,500,2015.0,131753.0, 2 hours ago,9500.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,1.0,White,200.0,July,2023.0,2022-09-01,3110936,9.159047077588632,7.0,False,False,False
5312,O&#039;c motors ltd,Cork,Fiat,500,2020.0,23000.0, 1 day ago,17950.0,Manual,1.0,Hatchback,Petrol,3.0,60.0,2.0,Green,180.0,July,2024.0,2022-09-01,3135374,9.795345393916424,2.0,False,False,False
5773,Tractamotors blanchardstown,Dublin,Fiat,500,2019.0,20921.0, 12 days ago,14999.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Wine,,March,2023.0,2022-09-01,3136605,9.61573881119536,3.0,False,False,False
7002,John kelly waterford,Waterford,Fiat,500,2017.0,58510.0, 1 month ago,12995.0,Manual,1.2,Hatchback,Petrol,2.0,50.0,2.0,Blue,,July,2023.0,2022-09-06,3140256,9.47231994707559,5.0,False,False,False
7028,Apex motors,Meath,Fiat,500,2013.0,98102.0, 4 hours ago,8449.0,Manual,1.2,Hatchback,Petrol,3.0,49.0,2.0,Grey,,August,2024.0,2022-09-06,3140317,9.041803370152845,9.0,False,False,False
7033,Apex motors,Meath,Fiat,500,2014.0,123759.0, 11 minutes ago,8949.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Red,,August,2024.0,2022-09-06,3140328,9.099297073182859,8.0,False,False,False
7109,Vartry garage kia &amp; peugeot,Wicklow,Fiat,500,2018.0,44907.0, 7 days ago,13950.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,3.0,White,190.0,July,2022.0,2022-09-06,3140576,9.543234787249512,4.0,False,False,False
7339,Dan seaman motors,Cork,Fiat,500,2022.0,0.0, 1 month ago,38245.0,Automatic,,Convertible,Electric,3.0,37.0,,Green,,June,2026.0,2022-09-06,3141266,10.551768111755967,0.0,True,False,True
7422,Agnelli motor park,Dublin,Fiat,500,2022.0,999.0, 27 days ago,17950.0,Manual,1.0,Hatchback,Petrol,3.0,50.0,1.0,White,,March,2026.0,2022-09-07,3149762,9.795345393916424,0.0,False,False,False
7467,Private,Dublin,Fiat,500,2014.0,120000.0, 17 days ago,6900.0,Manual,1.2,Hatchback,Petrol,2.0,,2.0,Blue,,December,2022.0,2022-09-07,3149901,8.83927669058535,8.0,False,False,False
7595,Dunshaughlin motor company,Meath,Fiat,500,2017.0,53933.0, 1 month ago,12950.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,White,190.0,March,2023.0,2022-09-07,3150238,9.468851067127684,5.0,False,False,False
7692,Grandons toyota cork,Cork,Fiat,500,2017.0,72142.0, 1 month ago,12995.0,Manual,1.2,Hatchback,Petrol,3.0,,2.0,White,,February,2023.0,2022-09-07,3150448,9.47231994707559,5.0,False,False,False
8241,Johnson &amp; perrott opel kia,Cork,Fiat,500,2017.0,12235.0, 21 days ago,13900.0,Manual,1.2,Hatchback,Petrol,2.0,50.0,1.0,Red,,September,2023.0,2022-09-07,3151776,9.539644119118783,5.0,False,False,False
8615,Tractamotors blanchardstown,Dublin,Fiat,500,2016.0,85000.0, 6 minutes ago,10499.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,1.0,Blue,190.0,January,2023.0,2022-09-07,3152625,9.259035293514941,6.0,False,False,False
9075,Modern motors,Donegal,Fiat,500,2014.0,84857.0, 14 hours ago,8995.0,Manual,0.0,Hatchback,Petrol,3.0,59.0,2.0,Black,180.0,None,,2022-09-07,3153661,9.104424146384634,8.0,False,True,False
9638,Sarsfield motor company,Dublin,Fiat,500,2017.0,151240.0, 1 day ago,13950.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,2.0,Black,190.0,September,2023.0,2022-09-07,3155009,9.543234787249512,5.0,False,False,False
9761,Navan ford centre,Meath,Fiat,500,2014.0,116936.0, 13 hours ago,8950.0,Manual,1.2,Hatchback,Petrol,3.0,,2.0,White,200.0,December,2022.0,2022-09-07,3155303,9.099408811268901,8.0,False,False,False
10103,Toyota sandyford,Dublin,Fiat,500,2017.0,72000.0, 21 days ago,12945.0,Manual,1.2,Hatchback,Petrol,2.0,50.0,1.0,Red,,March,2023.0,2022-09-07,3155999,9.468464892185638,5.0,False,False,False
10135,Naas road autos,Dublin,Fiat,500,2014.0,98000.0, 2 hours ago,12950.0,Automatic,1.2,Hatchback,Petrol,3.0,65.0,1.0,Blue,200.0,September,2024.0,2022-09-07,3156076,9.468851067127684,8.0,False,False,False
10341,Anthony conaghan cars,Donegal,Fiat,500,2017.0,87298.0, 25 days ago,11995.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,,Black,,March,2023.0,2022-09-07,3156537,9.392245175273795,5.0,True,False,False
10343,Harmonstown motors,Dublin,Fiat,500,2015.0,134399.0, 25 days ago,12950.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Blue,,September,2023.0,2022-09-07,3156543,9.468851067127684,7.0,False,False,False
10829,Rockfield cars,Dublin,Fiat,500,2016.0,26000.0, 1 day ago,12750.0,Manual,1.2,Hatchback,Petrol,4.0,50.0,1.0,Green,190.0,March,2024.0,2022-09-07,3157515,9.453286550586572,6.0,False,False,False
11098,Davin car sales,Limerick,Fiat,500,2020.0,65924.0, 1 day ago,15995.0,Manual,1.0,Hatchback,Petrol,3.0,60.0,1.0,Blue,180.0,May,2024.0,2022-09-07,3158079,9.680031452383618,2.0,False,False,False
11715,Kierans motors drogheda,Louth,Fiat,500,2014.0,117481.0, 4 hours ago,8250.0,Manual,1.2,Hatchback,Petrol,3.0,49.0,1.0,White,200.0,May,2024.0,2022-09-07,3159560,9.017968479328726,8.0,False,False,False
11849,Linders finglas,Dublin,Fiat,500,2016.0,59545.0, 15 days ago,13950.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Green,,None,,2022-09-07,3159794,9.543234787249512,6.0,False,True,False
12511,Tractamotors blanchardstown,Dublin,Fiat,500,2019.0,22000.0, 4 days ago,15999.0,Manual,1.2,Hatchback,Petrol,3.0,46.0,1.0,Red,270.0,July,2023.0,2022-09-07,3161037,9.680281499268713,3.0,False,False,False
12717,Pauric byrne cars ltd,Wexford,Fiat,500,2015.0,128747.0, 11 days ago,9750.0,Manual,1.2,Hatchback,Petrol,3.0,50.0,1.0,White,190.0,None,,2022-09-07,3161385,9.185022563991893,7.0,False,True,False
12983,Dg autos,Limerick,Fiat,500,2015.0,85636.0, 1 hour ago,9500.0,Manual,1.2,Hatchback,Petrol,3.0,,4.0,White,200.0,July,2023.0,2022-09-07,3161990,9.159047077588632,7.0,False,False,False
13232,E &amp; d motors,Dublin,Fiat,500,2011.0,108000.0, 9 days ago,6950.0,Manual,1.2,Hatchback,Petrol,3.0,49.0,,White,200.0,December,2022.0,2022-09-07,3162432,8.846496938558838,11.0,True,False,False
13289,Tractamotors blanchardstown,Dublin,Fiat,500,2022.0,0.0, 4 days ago,22599.0,Manual,1.0,Hatchback,Petrol,3.0,,,Red,,None,,2022-09-07,3162543,10.025660936493804,0.0,True,True,True
13315,Tractamotors blanchardstown,Dublin,Fiat,500,2014.0,66000.0, 2 hours ago,9999.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Green,200.0,January,2023.0,2022-09-07,3162606,9.21024036697585,8.0,False,False,False
14006,Tractamotors blanchardstown,Dublin,Fiat,500,2020.0,37000.0, 4 days ago,17299.0,Manual,1.2,Hatchback,Petrol,3.0,46.0,1.0,Grey,270.0,January,2024.0,2022-09-07,3164021,9.758403975346978,2.0,False,False,False
14009,Tractamotors blanchardstown,Dublin,Fiat,500,2014.0,82076.0, 2 hours ago,9799.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Green,200.0,February,2024.0,2022-09-07,3164030,9.190035618635818,8.0,False,False,False
14010,Tractamotors blanchardstown,Dublin,Fiat,500,2011.0,87000.0, in 7 minutes,6499.0,Manual,0.0,Hatchback,Petrol,3.0,57.0,2.0,Blue,180.0,October,2022.0,2022-09-07,3164036,8.77940359789435,11.0,False,False,False
14323,L &amp; m motors enniscorthy,Wexford,Fiat,500,2013.0,99218.0, 2 hours ago,8250.0,Manual,1.2,Hatchback,Petrol,2.0,49.0,3.0,Grey,200.0,May,2023.0,2022-09-07,3164593,9.017968479328726,9.0,False,False,False
14575,Tractamotors blanchardstown,Dublin,Fiat,500,2022.0,0.0, 4 days ago,22599.0,Manual,1.0,Hatchback,Petrol,5.0,,,Black,,September,2026.0,2022-09-07,3165021,10.025660936493804,0.0,True,False,True
14668,Joseph doherty ltd,Donegal,Fiat,500,2022.0,16.0, 7 days ago,23750.0,Manual,1.0,Hatchback,Petrol,3.0,,,Green,190.0,None,,2022-09-07,3165165,10.075337809462788,0.0,True,True,False
14688,Joseph doherty ltd,Donegal,Fiat,500,2022.0,16.0, 7 days ago,22495.0,Manual,1.0,Hatchback,Petrol hybrid,3.0,39.0,,Red,180.0,None,,2022-09-07,3165204,10.021048341275273,0.0,True,True,False
14802,Shane connolly cars,Donegal,Fiat,500,2018.0,54588.0, 12 days ago,13900.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Red,,August,2024.0,2022-09-07,3165384,9.539644119118783,4.0,False,False,False
14836,Usedirect ireland,Dublin,Fiat,500,2021.0,16395.0, 12 days ago,19999.0,Manual,1.0,Hatchback,Petrol hybrid,3.0,60.0,2.0,Green,,January,2025.0,2022-09-07,3165440,9.903437551286085,1.0,False,False,False
15252,Tractamotors blanchardstown,Dublin,Fiat,500,2014.0,63000.0, 2 hours ago,9499.0,Manual,1.2,Hatchback,Petrol,2.0,49.0,2.0,Grey,200.0,November,2022.0,2022-09-07,3166171,9.158941808890182,8.0,False,False,False
15507,Dan seaman motors,Cork,Fiat,500,2017.0,66407.0, 7 days ago,12950.0,Manual,1.2,Hatchback,Petrol,3.0,46.0,3.0,Blue,,July,2023.0,2022-09-07,3166635,9.468851067127684,5.0,False,False,False
15794,Premium autos,Waterford,Fiat,500,2010.0,202545.0, 2 hours ago,6700.0,Manual,1.2,Convertible,Petrol,2.0,49.0,4.0,Red,200.0,August,2023.0,2022-09-07,3167097,8.809862805379057,12.0,False,False,False
16261,Ramillies car sales,Dublin,Fiat,500,2013.0,191511.0, 32 minutes ago,6950.0,Manual,1.2,Hatchback,Petrol,3.0,49.0,1.0,White,200.0,October,2023.0,2022-09-07,3167829,8.846496938558838,9.0,False,False,False
16466,Agnelli motor park,Dublin,Fiat,500,2014.0,92998.0, 10 days ago,9450.0,Manual,1.2,Hatchback,Petrol,2.0,46.0,1.0,Blue,,August,2024.0,2022-09-07,3168148,9.153770020487789,8.0,False,False,False
16467,Agnelli motor park,Dublin,Fiat,500,2022.0,0.0, 10 days ago,25095.0,Manual,1.0,Convertible,Petrol hybrid,,,,None,,None,,2022-09-07,3168149,10.130423902089033,0.0,True,True,True
