,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,33.12388591766357,0.0712949393429427,0.013108110427856446,0.006657954588270358,6,2,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 2, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.03591819187732986,-0.03447736921549108,-0.0348440551957163,-0.03368397992067403,-0.03626365334863692,-0.03503744991156964,0.0009446961625646176,11,-0.030359507429183214,-0.03068260199476856,-0.03027928485054956,-0.031092616653091248,-0.030298815682113515,-0.030542565321941224,0.00031125790665293004
1,63.997003412246706,0.6846849791919947,0.017226266860961913,0.0032092094456811905,6,12,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.02805144564991238,-0.027195343142835855,-0.02741092890628322,-0.024860211332943305,-0.02737249414890213,-0.026978084636175376,0.0010979622469797893,1,-0.00827010754919903,-0.008175818218529257,-0.008267213340572557,-0.008342023892353065,-0.00812289235469006,-0.008235611071068794,7.71920892472032e-05
2,80.31889443397522,0.5193951648366694,0.026389265060424806,0.006466874989793941,6,22,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 22, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.027836471141226733,-0.027299343170746497,-0.02733333057017364,-0.024895016613246997,-0.0279153840504397,-0.027055909109166713,0.0011093830221214364,2,-0.00409785076298417,-0.004148383185948441,-0.004099719122460117,-0.004191990562406394,-0.004018963299584644,-0.004111381386676753,5.7839711906419374e-05
3,91.7337715625763,0.2900258355869455,0.02812962532043457,0.006254228609358094,6,32,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 32, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.028589939531127276,-0.027811183728465323,-0.02749653654184685,-0.02534587192587571,-0.02841191395857163,-0.027531089137177354,0.0011620531524189372,4,-0.002705720892834227,-0.0027962976049524966,-0.0026965498336515275,-0.0026361201707413573,-0.00275807536081802,-0.002718552772599526,5.486385740512227e-05
4,94.14113264083862,0.12551505674372632,0.03133077621459961,0.00017598213945484062,6,42,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 42, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.02862434459396399,-0.028314148663320965,-0.027703386639212395,-0.02582778604052198,-0.029172283532502296,-0.027928389893904327,0.0011527009300185537,10,-0.0021999503473436747,-0.002244921679156079,-0.0021423952921048816,-0.002272594737950487,-0.0021551252064151306,-0.0022029974525940503,5.0149938309805536e-05
5,94.3669608592987,0.0846858769326972,0.03154458999633789,0.0003937188888801361,6,52,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 52, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.027893913001367704,-0.028602944512109513,-0.027412691037488442,-0.025458306445307482,-0.028092791920985065,-0.027492129383451643,0.0010861751243890394,3,-0.002086107084544572,-0.0021345994902410835,-0.0021105667374932222,-0.0021857020960264046,-0.0020949797024085175,-0.0021223910221427602,3.567928545888621e-05
6,94.39434638023377,0.0748450704619824,0.026897716522216796,0.006193800442501432,6,62,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 62, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.028988596024081097,-0.02822809452353943,-0.027662281168943505,-0.02540758578035503,-0.02896901862853461,-0.027851115225090733,0.001318497510578872,9,-0.0020412513040981065,-0.002089545603591047,-0.0019952540848188244,-0.0021016271297407928,-0.0020696481521956995,-0.0020594652548888938,3.805513061811209e-05
7,94.32701864242554,1.1025069442802988,0.031031179428100585,0.0016319299828156763,6,72,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 72, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.02813627393364492,-0.028221440297679038,-0.02761508105785741,-0.0250427544505523,-0.028966111820084687,-0.02759633231196367,0.0013475684961633684,7,-0.002086951925456857,-0.0020895456035910443,-0.0019878936225469226,-0.0021236838882401888,-0.0020187933678984167,-0.002061373681546686,5.008566220463167e-05
8,95.20751676559448,1.0670327423895878,0.029071283340454102,0.006973141861750441,6,82,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 82, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.028142095529192012,-0.028221600346120406,-0.027613153351214014,-0.025042732964813973,-0.028968433447594224,-0.027597603127786925,0.0013485268724409498,8,-0.0020869519254568605,-0.0020895456035910434,-0.001987893622546926,-0.0021236838882401823,-0.002018793367898419,-0.0020613736815466863,5.0085662204628926e-05
9,95.19579238891602,0.10569907244555979,0.02750253677368164,0.004804039402820596,6,92,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 92, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.028131621900058496,-0.028221086408208154,-0.027607067225998136,-0.025041978455395384,-0.028962375122205865,-0.027592825822373206,0.0013466776131583794,5,-0.00208695192545686,-0.002089545603591049,-0.0019878936225469204,-0.002123683888240184,-0.0020187933678984175,-0.0020613736815466863,5.008566220463182e-05
10,95.96813397407531,0.44065537427776735,0.030677986145019532,0.0013586372329755863,6,102,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 102, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.02813533335461392,-0.02822940517020959,-0.027607996848120913,-0.02503746768162048,-0.028962717007730777,-0.027594584012459133,0.0013495346960876295,6,-0.0020869519254568644,-0.0020895456035910473,-0.0019878936225469217,-0.0021236838882401866,-0.0020187933678984145,-0.0020613736815466867,5.008566220463286e-05
